dataset,emb,rerank,query,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11
golden_answer_2000,thenlper-gte-base,cross-encoder-ms-marco-MiniLM-L-12-v2,200,53,33,28,13,20,10,8,4,5,4,22
golden_answer_2000,thenlper-gte-base,cross-encoder-ms-marco-electra-base,200,58,38,25,22,10,11,6,2,4,2,22
msmarco_2000,thenlper-gte-base,BAAI-bge-reranker-large,200,186,12,0,1,0,0,0,0,0,0,1
msmarco_2000,thenlper-gte-base,BAAI-bge-reranker-base,200,184,12,3,0,0,0,0,0,0,0,1
msmarco_2000,thenlper-gte-base,cross-encoder-ms-marco-MiniLM-L-12-v2,200,184,12,2,1,0,0,0,0,0,0,1
msmarco_2000,thenlper-gte-base,cross-encoder-ms-marco-electra-base,200,184,15,0,0,0,0,0,0,0,0,1
papers_dataset_924,thenlper-gte-base,BAAI-bge-reranker-large,200,142,20,10,6,6,4,2,2,0,0,8
papers_dataset_924,thenlper-gte-base,BAAI-bge-reranker-base,200,133,23,10,7,3,3,3,5,3,2,8
papers_dataset_924,thenlper-gte-base,cross-encoder-ms-marco-MiniLM-L-12-v2,200,132,19,13,6,3,3,8,5,2,1,8
papers_dataset_924,thenlper-gte-base,cross-encoder-ms-marco-electra-base,200,130,20,9,10,4,3,6,3,5,2,8
question_golden_answer_2000,thenlper-gte-base,BAAI-bge-reranker-large,200,55,34,28,17,14,14,9,10,7,2,10
question_golden_answer_2000,thenlper-gte-base,BAAI-bge-reranker-base,200,62,33,20,17,10,16,12,9,6,5,10
question_golden_answer_2000,thenlper-gte-base,cross-encoder-ms-marco-MiniLM-L-12-v2,200,90,48,20,8,10,2,4,2,3,3,10
question_golden_answer_2000,thenlper-gte-base,cross-encoder-ms-marco-electra-base,200,90,51,18,10,9,5,1,2,2,2,10
wikiqa_2223,thenlper-gte-base,BAAI-bge-reranker-large,200,138,24,15,9,4,3,2,2,0,2,1
wikiqa_2223,thenlper-gte-base,BAAI-bge-reranker-base,200,116,30,14,10,7,9,5,4,4,0,1
wikiqa_2223,thenlper-gte-base,cross-encoder-ms-marco-MiniLM-L-12-v2,200,159,23,12,0,4,0,0,0,1,0,1
wikiqa_2223,thenlper-gte-base,cross-encoder-ms-marco-electra-base,200,164,19,8,5,1,0,1,0,0,1,1
yahoo_2000,thenlper-gte-base,BAAI-bge-reranker-large,200,121,17,8,12,8,4,0,2,4,4,20
yahoo_2000,thenlper-gte-base,BAAI-bge-reranker-base,200,117,18,10,12,7,3,5,3,3,2,20
yahoo_2000,thenlper-gte-base,cross-encoder-ms-marco-MiniLM-L-12-v2,200,95,21,13,16,11,7,5,3,3,6,20
yahoo_2000,thenlper-gte-base,cross-encoder-ms-marco-electra-base,200,88,35,10,10,9,9,9,5,3,2,20
golden_answer_2000,thenlper-gte-large,BAAI-bge-reranker-large,200,54,32,26,20,12,10,11,6,6,1,22
golden_answer_2000,thenlper-gte-large,BAAI-bge-reranker-base,200,52,27,29,17,16,11,6,8,6,6,22
golden_answer_2000,thenlper-gte-large,cross-encoder-ms-marco-MiniLM-L-12-v2,200,54,35,26,14,14,15,6,7,6,1,22
golden_answer_2000,thenlper-gte-large,cross-encoder-ms-marco-electra-base,200,58,39,25,15,15,8,9,4,3,2,22
msmarco_2000,thenlper-gte-large,BAAI-bge-reranker-large,200,187,11,0,0,1,0,0,0,0,0,1
msmarco_2000,thenlper-gte-large,BAAI-bge-reranker-base,200,185,12,2,0,0,0,0,0,0,0,1
msmarco_2000,thenlper-gte-large,cross-encoder-ms-marco-MiniLM-L-12-v2,200,184,12,2,1,0,0,0,0,0,0,1
msmarco_2000,thenlper-gte-large,cross-encoder-ms-marco-electra-base,200,184,15,0,0,0,0,0,0,0,0,1
papers_dataset_924,thenlper-gte-large,BAAI-bge-reranker-large,200,143,19,10,7,7,4,2,1,1,0,6
papers_dataset_924,thenlper-gte-large,BAAI-bge-reranker-base,200,133,27,8,7,5,1,5,4,3,1,6
papers_dataset_924,thenlper-gte-large,cross-encoder-ms-marco-MiniLM-L-12-v2,200,126,24,7,12,6,6,4,3,4,2,6
papers_dataset_924,thenlper-gte-large,cross-encoder-ms-marco-electra-base,200,125,25,7,10,3,7,4,5,6,2,6
question_golden_answer_2000,thenlper-gte-large,BAAI-bge-reranker-large,200,55,39,26,19,10,13,10,8,9,3,8
question_golden_answer_2000,thenlper-gte-large,BAAI-bge-reranker-base,200,63,38,15,15,15,12,15,8,5,6,8
question_golden_answer_2000,thenlper-gte-large,cross-encoder-ms-marco-MiniLM-L-12-v2,200,89,50,21,7,11,3,3,4,2,2,8
question_golden_answer_2000,thenlper-gte-large,cross-encoder-ms-marco-electra-base,200,89,52,18,12,8,5,2,1,5,0,8
wikiqa_2223,thenlper-gte-large,BAAI-bge-reranker-large,200,140,26,11,8,2,4,4,2,2,0,1
wikiqa_2223,thenlper-gte-large,BAAI-bge-reranker-base,200,123,25,12,17,8,3,4,3,3,1,1
wikiqa_2223,thenlper-gte-large,cross-encoder-ms-marco-MiniLM-L-12-v2,200,166,18,9,1,0,4,0,0,1,0,1
wikiqa_2223,thenlper-gte-large,cross-encoder-ms-marco-electra-base,200,170,15,6,5,0,1,0,1,0,1,1
yahoo_2000,thenlper-gte-large,BAAI-bge-reranker-large,200,120,21,9,10,6,4,3,7,2,2,16
yahoo_2000,thenlper-gte-large,BAAI-bge-reranker-base,200,118,19,17,8,5,3,5,4,3,2,16
yahoo_2000,thenlper-gte-large,cross-encoder-ms-marco-MiniLM-L-12-v2,200,94,26,13,13,10,10,7,2,4,5,16
yahoo_2000,thenlper-gte-large,cross-encoder-ms-marco-electra-base,200,90,31,14,9,11,6,7,9,2,5,16
golden_answer_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,BAAI-bge-reranker-large,200,52,35,26,14,10,12,10,5,5,2,29
golden_answer_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,BAAI-bge-reranker-base,200,50,29,26,24,12,10,5,8,3,4,29
golden_answer_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,cross-encoder-ms-marco-MiniLM-L-12-v2,200,53,35,27,14,14,9,10,4,0,5,29
golden_answer_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,cross-encoder-ms-marco-electra-base,200,58,39,25,15,15,8,3,4,2,2,29
msmarco_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,BAAI-bge-reranker-large,200,185,14,0,0,0,0,0,0,0,0,1
msmarco_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,BAAI-bge-reranker-base,200,184,12,3,0,0,0,0,0,0,0,1
msmarco_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,cross-encoder-ms-marco-MiniLM-L-12-v2,200,184,13,1,1,0,0,0,0,0,0,1
msmarco_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,cross-encoder-ms-marco-electra-base,200,185,14,0,0,0,0,0,0,0,0,1
papers_dataset_924,sentence-transformers-multi-qa-mpnet-base-dot-v1,BAAI-bge-reranker-large,200,139,21,10,5,4,4,6,1,0,0,10
papers_dataset_924,sentence-transformers-multi-qa-mpnet-base-dot-v1,BAAI-bge-reranker-base,200,126,33,9,4,2,4,6,2,2,2,10
papers_dataset_924,sentence-transformers-multi-qa-mpnet-base-dot-v1,cross-encoder-ms-marco-MiniLM-L-12-v2,200,130,20,11,12,2,6,3,2,3,1,10
papers_dataset_924,sentence-transformers-multi-qa-mpnet-base-dot-v1,cross-encoder-ms-marco-electra-base,200,124,25,10,8,4,6,2,4,5,2,10
question_golden_answer_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,BAAI-bge-reranker-large,200,53,35,20,15,19,13,12,11,4,3,15
question_golden_answer_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,BAAI-bge-reranker-base,200,60,32,19,22,6,12,12,11,5,6,15
question_golden_answer_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,cross-encoder-ms-marco-MiniLM-L-12-v2,200,90,47,19,9,7,2,4,2,2,3,15
question_golden_answer_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,cross-encoder-ms-marco-electra-base,200,90,52,14,11,9,1,3,1,2,2,15
wikiqa_2223,sentence-transformers-multi-qa-mpnet-base-dot-v1,BAAI-bge-reranker-large,200,133,34,13,7,3,2,1,1,2,1,3
wikiqa_2223,sentence-transformers-multi-qa-mpnet-base-dot-v1,BAAI-bge-reranker-base,200,116,34,14,10,6,4,6,4,3,0,3
wikiqa_2223,sentence-transformers-multi-qa-mpnet-base-dot-v1,cross-encoder-ms-marco-MiniLM-L-12-v2,200,159,25,8,2,1,2,0,0,0,0,3
wikiqa_2223,sentence-transformers-multi-qa-mpnet-base-dot-v1,cross-encoder-ms-marco-electra-base,200,165,20,6,3,1,0,0,0,2,0,3
yahoo_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,BAAI-bge-reranker-large,200,116,24,10,8,8,4,2,1,3,2,22
yahoo_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,BAAI-bge-reranker-base,200,113,20,12,9,8,9,1,2,3,1,22
yahoo_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,cross-encoder-ms-marco-MiniLM-L-12-v2,200,87,28,15,10,10,8,3,4,4,9,22
yahoo_2000,sentence-transformers-multi-qa-mpnet-base-dot-v1,cross-encoder-ms-marco-electra-base,200,88,33,17,4,10,9,6,4,2,5,22
golden_answer_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,BAAI-bge-reranker-large,200,52,31,22,15,10,8,4,5,1,2,50
golden_answer_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,BAAI-bge-reranker-base,200,52,24,26,10,10,10,6,7,4,1,50
golden_answer_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,53,35,24,9,12,6,3,6,1,1,50
golden_answer_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,cross-encoder-ms-marco-electra-base,200,56,33,25,13,6,6,5,1,3,2,50
msmarco_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,BAAI-bge-reranker-large,200,181,12,0,1,0,0,0,0,0,0,6
msmarco_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,BAAI-bge-reranker-base,200,180,13,1,0,0,0,0,0,0,0,6
msmarco_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,181,11,1,1,0,0,0,0,0,0,6
msmarco_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,cross-encoder-ms-marco-electra-base,200,180,14,0,0,0,0,0,0,0,0,6
papers_dataset_924,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,BAAI-bge-reranker-large,200,106,9,5,5,0,1,2,1,0,0,71
papers_dataset_924,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,BAAI-bge-reranker-base,200,101,12,6,2,2,1,3,1,0,1,71
papers_dataset_924,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,98,17,6,3,0,2,1,1,0,1,71
papers_dataset_924,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,cross-encoder-ms-marco-electra-base,200,97,11,6,4,2,1,3,2,1,2,71
question_golden_answer_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,BAAI-bge-reranker-large,200,48,31,22,14,13,12,10,4,6,2,38
question_golden_answer_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,BAAI-bge-reranker-base,200,61,30,21,10,12,6,8,5,6,3,38
question_golden_answer_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,86,46,14,6,4,2,2,2,0,0,38
question_golden_answer_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,cross-encoder-ms-marco-electra-base,200,84,49,13,7,4,3,1,1,0,0,38
wikiqa_2223,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,BAAI-bge-reranker-large,200,136,23,14,10,3,1,1,2,0,0,10
wikiqa_2223,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,BAAI-bge-reranker-base,200,120,26,14,9,4,5,5,5,1,1,10
wikiqa_2223,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,162,16,8,1,2,1,0,0,0,0,10
wikiqa_2223,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,cross-encoder-ms-marco-electra-base,200,164,14,5,4,1,0,0,2,0,0,10
yahoo_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,BAAI-bge-reranker-large,200,107,22,5,5,4,3,3,1,1,2,47
yahoo_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,BAAI-bge-reranker-base,200,106,17,9,5,7,5,0,0,3,1,47
yahoo_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,91,21,11,5,7,2,6,5,1,4,47
yahoo_2000,sentence-transformers-paraphrase-multilingual-mpnet-base-v2,cross-encoder-ms-marco-electra-base,200,84,28,11,6,6,7,3,2,1,5,47
golden_answer_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,BAAI-bge-reranker-large,200,53,31,14,11,10,4,2,2,1,2,70
golden_answer_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,BAAI-bge-reranker-base,200,50,23,26,7,10,5,4,3,2,0,70
golden_answer_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,53,32,16,13,10,1,1,3,0,1,70
golden_answer_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,cross-encoder-ms-marco-electra-base,200,54,31,23,8,7,2,2,0,2,1,70
msmarco_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,BAAI-bge-reranker-large,200,179,10,1,0,0,0,0,0,0,0,10
msmarco_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,BAAI-bge-reranker-base,200,176,12,2,0,0,0,0,0,0,0,10
msmarco_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,178,10,1,1,0,0,0,0,0,0,10
msmarco_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,cross-encoder-ms-marco-electra-base,200,177,13,0,0,0,0,0,0,0,0,10
papers_dataset_924,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,BAAI-bge-reranker-large,200,100,10,4,3,2,0,2,0,0,0,79
papers_dataset_924,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,BAAI-bge-reranker-base,200,94,12,6,2,3,2,2,0,0,0,79
papers_dataset_924,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,98,9,7,4,0,0,0,2,1,0,79
papers_dataset_924,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,cross-encoder-ms-marco-electra-base,200,97,7,6,2,3,2,2,1,0,1,79
question_golden_answer_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,BAAI-bge-reranker-large,200,44,26,19,14,13,12,6,8,3,4,51
question_golden_answer_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,BAAI-bge-reranker-base,200,55,31,16,10,8,8,5,6,7,3,51
question_golden_answer_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,82,44,12,3,2,1,2,0,2,1,51
question_golden_answer_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,cross-encoder-ms-marco-electra-base,200,81,44,12,5,2,3,0,1,0,1,51
wikiqa_2223,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,BAAI-bge-reranker-large,200,130,21,10,6,2,2,2,1,1,0,25
wikiqa_2223,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,BAAI-bge-reranker-base,200,120,22,11,6,5,2,1,2,6,0,25
wikiqa_2223,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,151,14,9,0,1,0,0,0,0,0,25
wikiqa_2223,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,cross-encoder-ms-marco-electra-base,200,152,12,7,2,0,0,1,0,1,0,25
yahoo_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,BAAI-bge-reranker-large,200,105,13,7,5,4,4,1,0,0,1,60
yahoo_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,BAAI-bge-reranker-base,200,105,15,8,5,0,3,2,0,2,0,60
yahoo_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,cross-encoder-ms-marco-MiniLM-L-12-v2,200,88,19,9,7,2,4,4,4,1,2,60
yahoo_2000,sentence-transformers-paraphrase-multilingual-MiniLM-L12-v2,cross-encoder-ms-marco-electra-base,200,88,21,11,1,5,3,6,2,3,0,60
golden_answer_2000,sentence-transformers-all-MiniLM-L6-v2,mixedbread-ai-mxbai-rerank-large-v1,200,54,35,30,23,8,4,3,1,2,1,39
msmarco_2000,sentence-transformers-all-MiniLM-L6-v2,mixedbread-ai-mxbai-rerank-large-v1,200,183,13,2,1,0,0,0,0,0,0,1
papers_dataset_924,sentence-transformers-all-MiniLM-L6-v2,mixedbread-ai-mxbai-rerank-large-v1,200,109,21,12,8,6,2,8,1,0,4,29
question_golden_answer_2000,sentence-transformers-all-MiniLM-L6-v2,mixedbread-ai-mxbai-rerank-large-v1,200,97,45,24,4,4,2,0,1,0,0,23
wikiqa_2223,sentence-transformers-all-MiniLM-L6-v2,mixedbread-ai-mxbai-rerank-large-v1,200,167,18,4,4,1,0,0,0,1,0,5
yahoo_2000,sentence-transformers-all-MiniLM-L6-v2,mixedbread-ai-mxbai-rerank-large-v1,200,110,22,11,9,7,6,5,2,3,3,22
golden_answer_2000,sentence-transformers-all-MiniLM-L12-v2,mixedbread-ai-mxbai-rerank-large-v1,200,55,35,27,22,9,3,2,3,2,0,42
msmarco_2000,sentence-transformers-all-MiniLM-L12-v2,mixedbread-ai-mxbai-rerank-large-v1,200,180,14,2,1,0,0,0,0,0,0,3
papers_dataset_924,sentence-transformers-all-MiniLM-L12-v2,mixedbread-ai-mxbai-rerank-large-v1,200,103,14,15,3,2,4,2,0,2,3,52
question_golden_answer_2000,sentence-transformers-all-MiniLM-L12-v2,mixedbread-ai-mxbai-rerank-large-v1,200,100,40,26,4,4,1,0,1,0,0,24
wikiqa_2223,sentence-transformers-all-MiniLM-L12-v2,mixedbread-ai-mxbai-rerank-large-v1,200,167,18,6,2,0,0,0,1,0,0,6
yahoo_2000,sentence-transformers-all-MiniLM-L12-v2,mixedbread-ai-mxbai-rerank-large-v1,200,105,28,16,8,7,0,5,5,2,4,20
golden_answer_2000,sentence-transformers-all-mpnet-base-v2,mixedbread-ai-mxbai-rerank-large-v1,200,55,34,28,24,10,4,4,4,3,1,33
msmarco_2000,sentence-transformers-all-mpnet-base-v2,mixedbread-ai-mxbai-rerank-large-v1,200,182,14,2,1,0,0,0,0,0,0,1
papers_dataset_924,sentence-transformers-all-mpnet-base-v2,mixedbread-ai-mxbai-rerank-large-v1,200,115,24,13,7,6,6,3,5,4,4,13
question_golden_answer_2000,sentence-transformers-all-mpnet-base-v2,mixedbread-ai-mxbai-rerank-large-v1,200,99,47,27,6,6,2,1,1,0,0,11
wikiqa_2223,sentence-transformers-all-mpnet-base-v2,mixedbread-ai-mxbai-rerank-large-v1,200,175,16,2,3,2,0,0,1,0,0,1
yahoo_2000,sentence-transformers-all-mpnet-base-v2,mixedbread-ai-mxbai-rerank-large-v1,200,107,25,14,17,4,6,1,1,8,5,12
